user_id,birthday,gender,birth,birth_year,birth_month
53538638,20131106.0,1.0,2013-11-06,2013,11
54451652,20100602.0,0.0,2010-06-02,2010,6
54925736,20130428.0,0.0,2013-04-28,2013,4
55867871,20120623.0,1.0,2012-06-23,2012,6
56736746,20121105.0,1.0,2012-11-05,2012,11
57970535,20130114.0,1.0,2013-01-14,2013,1
58244867,20101015.0,1.0,2010-10-15,2010,10
58666247,20140307.0,0.0,2014-03-07,2014,3
59441576,20100223.0,1.0,2010-02-23,2010,2
60290489,,0.0,2009-11-01,2009,11
61127135,20120317.0,1.0,2012-03-17,2012,3
61526102,20110523.0,0.0,2011-05-23,2011,5
62380766,20120313.0,1.0,2012-03-13,2012,3
62789705,20131111.0,0.0,2013-11-11,2013,11
63437351,20121015.0,0.0,2012-10-15,2012,10
63741599,20110324.0,0.0,2011-03-24,2011,3
65079983,20130804.0,1.0,2013-08-04,2013,8
65651861,20111124.0,1.0,2011-11-24,2011,11
66569606,20120123.0,1.0,2012-01-23,2012,1
67170281,20120612.0,1.0,2012-06-12,2012,6
67555313,,0.0,2007-06-01,2007,6
68067107,20121114.0,1.0,2012-11-14,2012,11
69203525,20100123.0,1.0,2010-01-23,2010,1
69841787,20140725.0,0.0,2014-07-25,2014,7
71850476,20120513.0,1.0,2012-05-13,2012,5
72088976,20141106.0,1.0,2014-11-06,2014,11
72875105,20120802.0,0.0,2012-08-02,2012,8
73973378,20120404.0,0.0,2012-04-04,2012,4
75104744,20140315.0,1.0,2014-03-15,2014,3
76076096,20140428.0,1.0,2014-04-28,2014,4
77723093,20131221.0,0.0,2013-12-21,2013,12
78613406,,1.0,2007-11-04,2007,11
79823567,20140409.0,1.0,2014-04-09,2014,4
81094748,,0.0,2009-03-23,2009,3
82248938,20141230.0,0.0,2014-12-30,2014,12
83744798,20120805.0,1.0,2012-08-05,2012,8
84725909,,0.0,2009-09-18,2009,9
85189793,,1.0,2009-03-13,2009,3
86967455,,0.0,2007-08-05,2007,8
88830644,20140325.0,1.0,2014-03-25,2014,3
89800466,20110331.0,0.0,2011-03-31,2011,3
91156811,20120525.0,0.0,2012-05-25,2012,5
92192666,20110922.0,0.0,2011-09-22,2011,9
93083084,20131211.0,0.0,2013-12-11,2013,12
